"","ID","decimalLongitude","decimalLatitude","Log.S.AllGrp","AgrBasMp","WetLndBasMp","Dis2Cost","HII","Slope30mAgg","NDVI","MAT","PrecSea"
"96",109,9.496242918,56.12617658,1.05493634343147,0.112446986,0.135721698,37592.89063,21.42073631,8.239809036,0.677257121,8.080091858,21
"97",110,9.527718814,56.13413354,1.04862880110741,0.016359301,0,37278.45313,43,6.300602913,0.669222236,7.961587524,20.41094017
"98",111,9.545471604,55.66713549,1.06666007637978,0.156494454,0.011467257,3077.179932,43,2.020238876,0.570777774,8.275177765,21
"99",112,9.62042271,56.16725102,1.04713903665543,0,0.000808734,37137.57422,38.30612564,4.355699062,0.628222227,8.202658844,21
"100",113,9.63843338,56.07849827,1.04251079559326,0.089866668,0.008733333,28167.72852,18,7.037745953,0.712333322,7.92652359,21.02395439
"101",114,9.689242409,55.61045139,1.0541462123394,0.538086295,0.127254009,4626.011719,40.13509369,2.741151571,0.619222224,8.598454285,20.92541695
"102",115,9.693193422,55.60660146,1.05672042965889,0.385808527,0.307700068,3755.469727,39.40491104,2.024885178,0.560888886,8.683795929,20.15516853
"103",116,9.704436043,56.05325311,1.04132881164551,0.161283538,0.194674447,23615.67188,18,2.353069067,0.63977778,8.3,20.39866638
"104",118,9.731842491,56.0637403,1.03945572972298,0.028296296,0.06737037,24445.93164,28,3.099877834,0.634333313,8.28099823,21
"105",119,9.752402726,55.69123564,1.05849711894989,0.742999971,0,617.7420654,26,4.605628014,0.655888915,8.386043549,21
"106",120,9.800305811,56.82378091,1.04192166924477,0.451064676,0.005637278,18396.86914,26,6.726554871,0.665371418,8.256324005,21.76687431
"107",121,9.820183908,56.83296931,1.03564865589142,0.117876083,0.135525614,18582.01953,21.51471329,6.460959911,0.656342864,8.29058075,21.73817635
"108",122,9.835868413,56.81534525,1.02481761574745,0,0.018847125,17481.8457,18.84584618,4.825584888,0.693714261,7.84072113,20.80228996
"109",124,9.850999917,56.8138236,1.0296638250351,0.050528646,0.004283034,16858.38281,22.285532,3.698807001,0.71077776,7.936147308,20.02724648
"110",125,9.857507134,55.68390165,1.0545549929142,0.18567881,0,158.1249542,26,5.407996178,0.630333304,8.343338776,20
"111",126,9.862110474,56.85378561,1.03636103272438,0.078378379,0,19694.69727,26.29729843,7.844645023,0.688114285,8.013886261,20.75539589
"112",127,9.869621187,55.68895496,1.04991500377655,0,0,595.7191772,26,4.542185783,0.647111118,8.449120331,20
"113",128,9.879929238,57.51774804,1.0308441400528,0.006148519,0.000106205,968.8786621,19.34117317,2.194069862,0.600444436,8.4,24.17728233
"114",129,9.922239627,56.89066793,1.03747988343239,0.330092877,0.011743686,17168.56055,21.0904808,5.715553761,0.635666668,8.308457184,21
"115",130,9.926169346,57.51694352,1.02383081316948,0.801912665,0.021367753,2654.203613,30,2.392287731,0.630124986,8.4,24.11429405
