ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,AgrBasMp,WetLndBasMp,Dis2Cost,HII,Slope30mAgg,NDVI,MAT,PrecSea
58,12.27018454,55.0399262,2.480006943,0.004225658,0.025791472,758.8251953,10.34974289,1.52916348,0.564969718,8.682121277,19
59,12.27163111,55.96826784,2.5774918,0.089899495,0.104075253,15200.34375,37.59711838,3.49109292,0.634444416,8.2,23.28637505
60,12.27208166,55.95692068,2.444044796,0.039680917,0.142568633,14868.71875,40.67929459,3.709005594,0.606222212,8.225579071,23.74420738
61,12.29278869,55.98460376,2.193124598,0,0.120386772,14320.90625,29,3.623319864,0.665942848,8,23.4956913
62,12.29951997,55.02428234,2.227886705,0.622749805,0.000426485,873.3538208,15.43741703,1.856238484,0.520705879,8.663620758,20
63,12.31617427,55.99989788,2.409933123,0,0.179556996,11738.4375,26,2.871899128,0.606000006,7.9,21.85531044
64,12.45141793,54.96752392,2.357934847,0.363595426,0.30022788,870.2781982,20.3598423,1.731619716,0.588888884,8.7,20
65,12.45526794,54.9606333,2.372912003,0.363595426,0.30022788,870.2781982,20.3598423,1.967599869,0.588888884,8.7,20
66,12.50972317,54.96462732,2.675778342,0.068000004,0,2238.438232,20.86979485,7.051499844,0.636666656,8.20239563,20
67,12.52658146,54.98604161,2.63447727,0.266315341,0.004085997,918.7474365,14,7.760801315,0.620444417,7.980390167,19.59603119
68,12.5389131,54.97290273,2.374748346,0,0.006595219,303.6282043,14,6.025370598,0.674000025,8.050456238,18
69,12.53898781,54.96620118,2.434568904,0.094480641,0.01436753,496.262085,14,7.353720188,0.68011111,8.085844421,18.85844612
70,12.53900706,54.98049301,2.505149978,0,0.014549525,19.25263214,17,6.874098778,0.617666662,8.3,18
71,8.080258493,55.56292804,2.424881637,0,0.022564534,346.9189453,17,2.092594862,0.314111114,9.006861877,30
72,8.128703025,56.31348114,2.292256071,0,0.004331348,479.5455322,23.98020744,1.124059677,0.318333328,8.7,31
73,8.136246233,56.22776563,2.264817823,0.124260359,0.014551003,22.81744957,17.49905205,1.449993849,0.378057152,8.8,31
