"","ID","decimalLongitude","decimalLatitude","S.AllGrp","landsdele","Geology","HII","PrecSea","logitNatDensBasMp","log10Dis2Cost","log10Slope30mAgg"
"93",101,8.959030055,55.01130816,326,"Syddanmark","Clayey Till",26,25,1.59273107993237,4.08456015690992,0.323252100171687
"94",102,8.974026422,55.01528364,351,"Syddanmark","Aeolian sand",26,25,2.60371050487487,4.0877265953156,0.326540668516562
"95",103,8.984554332,55.01777035,273,"Syddanmark","Freshwater deposits",26,25,0.581880524016016,4.12669205494826,0.302547372487486
"96",104,9.05938754,55.29300077,246,"Syddanmark","Clayey Till",40,24,-0.462891939722816,4.39204690664524,0.356981400993131
"97",105,9.067590023,55.2925393,347,"Syddanmark","Glaciofluvial",40,24,-0.462891939722816,4.40896581771058,0.423737249982329
"98",106,9.358896311,56.10335589,184,"Midtjylland","Downwash sandy deposits",29.51,22,3.6926788117674,4.61789673702601,0.357934847000454
"99",107,9.39829759,56.09298382,129,"Midtjylland","Downwash sandy deposits",35.3,22,2.09996729488757,4.59469090652879,0.375114684692225
"100",108,9.415083839,56.08843609,149,"Midtjylland","Aeolian sand",33.78,22,1.24826857890753,4.57880702834666,0.512284063281854
"101",109,9.496242918,56.12617658,366,"Midtjylland","Freshwater deposits",21.42,21,1.63827441498539,4.57510572547621,0.915927211697116
"102",110,9.527718814,56.13413354,298,"Midtjylland","Glaciofluvial",43,20.41,2.41813798820642,4.57145788148495,0.799409479615127
"103",111,9.545471604,55.66713549,285,"Syddanmark","Glaciofluvial",43,21,-0.276141465261843,3.48815290109644,0.305351369446624
"104",112,9.62042271,56.16725102,199,"Midtjylland","Downwash sandy deposits",38.31,21,0.82690447602667,4.56981353018391,0.639087871083737
"105",113,9.63843338,56.07849827,300,"Midtjylland","Glaciofluvial",18,21.02,1.74958142777504,4.44975183376155,0.847449262499173
"106",114,9.689242409,55.61045139,179,"Syddanmark","Glaciofluvial",40.14,20.93,-0.467112092280852,3.66520675500767,0.437909035539498
"107",115,9.693193422,55.60660146,163,"Syddanmark","Glaciofluvial",39.4,20.16,0.311289572903633,3.57466429703477,0.306425027550687
"108",116,9.704436043,56.05325311,237,"Midtjylland","Freshwater deposits",18,20.4,1.29919813770224,4.37320030823325,0.371621927176021
"109",118,9.731842491,56.0637403,371,"Midtjylland","Freshwater deposits",28,21,1.89742668631445,4.38820659937205,0.491361693834273
"110",119,9.752402726,55.69123564,311,"Midtjylland","Clayey Till",26,21,-1.18697718322858,2.79080712982749,0.663323933628212
"111",120,9.800305811,56.82378091,374,"Nordjylland","Glaciofluvial",26,21.77,0.00560001463473542,4.26474391585042,0.827821427682802
"112",121,9.820183908,56.83296931,297,"Nordjylland","Freshwater deposits",21.51,21.74,1.12762318702528,4.26909292317585,0.810299741040169
"113",122,9.835868413,56.81534525,281,"Nordjylland","Glaciofluvial",18.85,20.8,3.05040480762649,4.24258729015673,0.683587317572767
